date,exchange
2009-01-23,1332.612345
2009-01-28,1334.488467
2009-01-29,1334.870295
2009-01-30,1336.082763
2009-02-02,1337.852308
2009-02-03,1338.683912
2009-02-04,1338.842439
2009-02-05,1339.363746
2009-02-06,1340.706076
2009-02-09,1342.825536
2009-02-10,1343.766535
2009-02-11,1344.033389
2009-02-12,1344.662987
2009-02-13,1346.114129
2009-02-16,1348.560163
2009-02-17,1349.60591
2009-02-18,1349.971769
2009-02-19,1350.691497
2009-02-20,1352.22024
2009-02-23,1354.781517
2009-02-24,1355.811294
2009-02-25,1356.126369
2009-02-26,1356.756244
2009-02-27,1358.152246
2009-03-02,1360.029624
2009-03-03,1360.730995
2009-03-04,1360.667339
2009-03-05,1360.869769
2009-03-06,1361.792388
2009-03-09,1362.019042
2009-03-10,1362.113681
2009-03-11,1361.42756
2009-03-12,1361.000397
2009-03-13,1361.295395
2009-03-16,1359.744998
2009-03-17,1359.313354
2009-03-18,1358.148332
2009-03-19,1357.29717
2009-03-20,1357.229589
2009-03-23,1355.006677
2009-03-24,1354.497818
2009-03-25,1353.329557
2009-03-26,1352.547114
2009-03-27,1352.616684
2009-03-30,1351.159956
2009-03-31,1351.000249
2009-04-01,1350.213493
2009-04-02,1349.835285
2009-04-03,1350.321937
2009-04-06,1350.096229
2009-04-07,1350.30998
2009-04-08,1349.865158
2009-04-09,1349.791151
2009-04-10,1350.539398
2009-04-13,1350.816607
2009-04-14,1351.103212
2009-04-15,1350.687399
2009-04-16,1350.60294
2009-04-17,1351.307
2009-04-20,1351.322918
2009-04-21,1351.507997
2009-04-22,1350.998771
2009-04-23,1350.838291
2009-04-24,1350.043024
2009-04-27,1345.797921
2009-04-28,1344.662749
2009-04-29,1342.890548
2009-04-30,1341.526386
2009-05-04,1338.04322
